Date,"GROSS INTERNATIONAL RESERVES, USD","Monetary gold, USD","IMF SDRs holdings, USD","Reserve position in the IMF, USD","Foreign currency, USD","Import ( CIF, including humanitarian help), USD"
2003-01-31,431.799,16.299,26.223695,0,389.276305,87.2072
2003-02-28,429.714244,15.894,26.088165,0,387.732079,81.3205
2003-03-31,414.848,14.940457,26.041257,0,373.866286,88.2654
2003-04-30,450.599,14.93373,23.599399,0,412.065871,94.6457
2003-05-31,462.75078,16.213369,24.155298,0,422.382113,123.9018
2003-06-30,450.36015,15.423123,20.054998,0,414.882029,127.0426
2003-07-31,464.506562,16.123568,17.958363,0,430.424631,123.9395
2003-08-31,466.613033,16.65,15.36,0,434.603033,99.7323
2003-09-30,470.745104,17.06,13.16,0,440.525104,110.0232
2003-10-31,463.708332,17.55588,10.766114,0,435.386339,111.3576
2003-11-30,468.255621,17.791592,10.812371,0,439.651659,110.5624
2003-12-31,512.299445,,18.8299,0,493.469545,121.4877
2004-01-31,510.157459,,18.77,0,491.387459,84.0606
2004-02-29,500.603474,,13.74,0,486.863474,89.6634
2004-03-31,492.004164,,13.697516,0,478.306648,116.6152
2004-04-30,477.210506,,25.549344,0,451.661162,105.8237
2004-05-31,485.61477,,25.856756,0,459.758014,116.0042
2004-06-30,491.129842,,17.706956,0,473.422886,112.3946
2004-07-31,497.679197,,15.554744,0,482.124453,103.3841
2004-08-31,491.348892,,10.69282,0,480.656072,110.9803
2004-09-30,507.761062,,10.753305,0,497.007757,122.7231
2004-10-31,516.058508,,8.442144,0,507.616364,115.3395
2004-11-30,534.003972,,8.66021,0,525.343761,135.694
2004-12-31,578.109836,,11.963544,0,566.146291,138.0149
2005-01-31,574.540963,,11.713058,0,562.827905,115.4204
2005-02-28,583.088166,,6.660316,0,576.42785,122.4867
2005-03-31,591.663602,,6.568325,0,585.095277,133.5584
2005-04-30,606.43652,,0.860765,0,605.575755,142.718
2005-05-31,603.18445,,0.85925,0,602.325199,140.1544
2005-06-30,636.112561,,2.096298,0,634.016263,138.8086
2005-07-31,663.359243,,0.047779,0,663.311464,146.4254
2005-08-31,694.488012,,17.018775,0,677.469237,156.5005
2005-09-30,695.618854,,16.897817,0,678.721037,167.9739
2005-10-31,703.212874,,11.38995,0,691.822924,162.8534
2005-11-30,712.416309,,15.977339,0,696.43897,188.4981
2005-12-31,759.713504,,10.245248,0,749.468256,186.3382
2006-01-31,766.054926,,10.388443,0,755.666483,117.4188
2006-02-28,753.648559,,5.497724,0,748.150835,133.715
2006-03-31,760.287512,,18.531664,0,741.755848,170.8686
2006-04-30,765.642673,,13.402056,0,752.240617,162.896
2006-05-31,787.368828,,18.562087,0,768.806741,180.8474
2006-06-30,803.725656,,12.396645,0,791.329011,182.854
2006-07-31,812.081193,,12.474009,0,799.607184,180.9826
2006-08-31,841.548428,,21.961356,0,819.587071,183.4223
2006-09-30,902.694099,,21.84887,0,880.845228,193.2681
2006-10-31,920.541672,,16.345643,0,904.19603,216.5062
2006-11-30,966.608603,,15.2247,0,951.383902,227.4097
2006-12-31,1072.036547,,14.080604,0,1057.955943,241.4239
2007-01-31,1063.117896,,13.995839,0,1049.122058,200.7769
2007-02-28,1085.836816,,11.638847,0,1074.197969,216.656
2007-03-31,1062.905648,,11.722889,0,1051.182758,227.7504
2007-04-30,1120.931,,8.676,0,1112.255,225.3805
2007-05-31,1142.896786,,12.094196,0,1130.80259,237.205
2007-06-30,1216.02664,,6.022358,0,1210.004282,251.9471
2007-07-31,1270.362645,,6.10673,0,1264.255915,266.7175
2007-08-31,1298.31022,,3.545372,0,1294.764847,293.8769
2007-09-30,1333.985943,,3.61247,0,1330.373473,266.1929
2007-10-31,1376.099486,,9.654524,0,1366.444962,319.2884
2007-11-30,1575.548748,,8.204567,0,1567.34418,351.3997
2007-12-31,1659.153793,,9.664921,,1649.488872,410.5967
2008-01-31,1628.099084,,9.784658,,1618.314426,275.8575
2008-02-29,1621.670875,,7.183431,,1614.487444,266.9139
2008-03-31,1605.977105,,7.517516,,1598.45959,304.064
2008-04-30,1595.175412,,19.81733,,1575.358082,344.879
2008-05-31,1546.690693,,18.205837,,1528.484855,365.1705
2008-06-30,1579.570941,,14.574418,,1564.996524,345.1698
2008-07-31,1603.491039,,14.49748,,1588.993559,453.3111
2008-08-31,1612.760113,,14.077318,,1598.682795,316.0796
2008-09-30,1585.246837,,13.996346,,1571.250491,450.846
2008-10-31,1489.22225,,5.813848,,1483.408402,472.2648
2008-11-30,1498.731608,,6.306134,,1492.425475,405.1307
2008-12-31,1406.822548,,2.925571,,1403.896977,426.4424
2009-01-31,1259.540586,,2.835795,,1256.70479,223.8535
2009-02-28,1141.107239,,2.790129,,1138.31711,207.3017
2009-03-31,1343.317308,,11.9576,,1331.359709,230.5119
2009-04-30,1242.034499,,4.354641,,1237.679858,223.75
2009-05-31,1258.536247,,2.433648,,1256.102599,213.2148
2009-06-30,1963.073016,,1.192845,,1961.880171,286.6724
2009-07-31,1968.049538,,2.436705,,1965.612833,272.1382
2009-08-31,2047.693981,,107.063113,,1940.630868,288.8285
2009-09-30,2029.745632,,140.642062,,1889.10357,300.967
2009-10-31,2144.620643,,133.035298,,2011.585345,325.0317
2009-11-30,2115.890618,,129.9647,,1985.925918,379.9088
2009-12-31,2003.675041,,124.69021,,1878.984831,368.9553
2010-01-31,1938.449687,,123.635521,,1814.814166,245.592825
2010-02-28,1848.639487,,120.215436,,1728.424051,254.322253
2010-03-31,1911.261881,,118.341669,,1792.920212,300.133777
2010-04-30,1887.449032,,25.625638,,1861.823394,290.274464
2010-05-31,1783.495079,,20.287023,,1763.208056,304.146967
2010-06-30,1786.923713,,43.452147,,1743.471566,312.106242
2010-07-31,1831.189081,,44.627752,,1786.561329,314.326558
2010-08-31,1839.690835,,41.934594,,1797.756241,320.428696
2010-09-30,1852.64937,,43.258726,,1809.390644,318.49925
2010-10-31,1842.119522,,38.989741,,1803.129781,323.109062
2010-11-30,1809.465001,,32.10001,,1777.364991,356.416411
2010-12-31,1865.845243,,33.504555,,1832.340687,409.597008
2011-01-31,1817.024808,,33.991207,,1783.0336,256.766947
2011-02-28,1789.895346,,31.250623,,1758.644724,274.410855
2011-03-31,1823.442612,,31.509871,,1791.932741,338.407794
2011-04-30,1765.323962,,27.356941,,1737.96702,337.678604
2011-05-31,1707.527564,,20.103928,,1687.423636,359.004001
2011-06-30,1782.034033,,16.416012,,1765.61802,324.848288
2011-07-31,1875.751232,,19.524702,,1856.22653,303.657386
2011-08-31,2007.575972,,16.048724,,1991.527247,398.11597
2011-09-30,1955.099565,,15.576816,,1939.522749,381.700597
2011-10-31,1949.340884,,11.064429,,1938.276455,390.404394
2011-11-30,1887.775228,,5.007021,,1882.768207,380.422013
2011-12-31,1932.47605,,57.032615,,1875.443435,399.915149
2012-01-31,1730.349191,,57.625576,,1672.723615,274.046862
2012-02-29,1758.140807,,54.825955,,1703.314853,316.83019
2012-03-31,1714.216126,,54.588267,,1659.627859,362.044493
2012-04-30,1687.909333,,49.957698,,1637.951635,355.589155
2012-05-31,1675.82821,,43.270651,,1632.557559,365.578367
2012-06-30,1671.272795,,59.612614,,1611.660181,339.529225
2012-07-31,1674.67289,,59.255454,,1615.417436,317.916917
2012-08-31,1725.755767,,56.890502,,1668.865265,350.227953
2012-09-30,1692.328783,,6.699479,,1685.629304,322.729611
2012-10-31,1708.959751,,6.705268,,1702.254483,427.226774
2012-11-30,1687.942526,,0.472034,,1687.470492,401.18989
2012-12-31,1799.376166,,31.724842,,1767.651324,428.323291
2013-01-31,1768.039498,,31.817898,,1736.2216,313.916661
2013-02-28,1771.58145,,21.638079,,1749.943371,342.420014
2013-03-31,1631.217921,,1.650734,,1629.567187,333.84527
2013-04-30,1638.185446,,13.734087,,1624.451359,338.342482
2013-05-31,1669.702347,,34.359215,,1635.343133,337.218193
2013-06-30,1606.263064,,33.962795,,1572.300269,328.873179
2013-07-31,1749.512193,,74.430231,,1675.081962,359.318451
2013-08-31,1794.308408,,65.561339,,1728.747068,331.560112
2013-09-30,2430.550068,,6.412767,,2424.137301,365.644688
2013-10-31,1955.750569,,14.120469,,1941.6301,442.311392
2013-11-30,2021.900047,,1.85164,,2020.048407,433.856207
2013-12-31,2251.61326,,1.903035,,2249.710224,458.559246
2014-01-31,2113.536593,,9.567319,,2103.969274,298.718523
2014-02-28,2013.539151,,32.180242,,1981.358909,316.527542
2014-03-31,1970.266052,,0.577223,,1969.688829,387.426602
2014-04-30,1879.224359,,16.07582,,1863.148539,368.140902
2014-05-31,1866.809375,,4.013048,,1862.796327,354.478946
2014-06-30,1784.004687,,0.505848,,1783.498839,323.761888
2014-07-31,1912.622334,,8.157673,,1904.464661,421.90509
2014-08-31,1751.204975,,0.129564,,1751.075411,343.880256
2014-09-30,1663.343687,,0.333189,,1663.010498,403.419116
2014-10-31,1670.987581,,9.941398,,1661.046183,429.692009
2014-11-30,1537.649145,,0.16327,,1537.485875,374.098078
2014-12-31,1489.443269,,6.240311,,1483.202958,402.375525
2015-01-31,1351.122948,,6.069291,,1345.053657,195.850228
2015-02-28,1260.850317,,5.477512,,1255.372805,244.14516
2015-03-31,1491.569903,,0.660798,,1490.909105,289.488613
2015-04-30,1495.756312,,0.667293,,1495.089018,247.797215
2015-05-31,1598.65349,,3.627464,,1595.026026,247.962751
2015-06-30,1545.656669,,0.996012,,1544.660657,288.163603
2015-07-31,1702.555677,,0.996012,,1701.559665,254.736845
2015-08-31,1646.049329,,0.410045,,1645.639284,260.325815
2015-09-30,1625.493251,,0.409134,,1625.084117,285.013943
2015-10-31,1582.282984,,2.774123,,1579.508861,307.884577
2015-11-30,1549.74116,,9.744862,,1539.996298,275.853843
2015-12-31,1775.294152,,2.859895,,1772.434256,342.016089
2016-01-31,1740.222474,,1.650378,,1738.572096,148.699982
2016-02-29,1680.663322,,1.050293,12.774283,1666.838746,237.841144
2016-03-31,1626.27866,,13.938755,,1612.339906,286.810194
2016-04-30,1568.082472,,14.007373,,1554.075099,269.794405
2016-05-31,1532.030651,,11.757338,,1520.273313,248.344472
2016-06-30,1567.515605,,5.672277,,1561.843329,256.527311
2016-07-31,1588.815174,,1.022392,,1587.792782,234.622964
2016-08-31,1703.491175,,0.403799,,1703.087376,299.323655
2016-09-30,1821.597488,,0.404528,,1821.192959,308.094455
2016-10-31,1839.112037,,7.25551,,1831.856526,318.579287
2016-11-30,1752.381173,,5.443825,,1746.937348,338.083734
2016-12-31,2204.116641,,3.483058,,2200.633584,326.747736
2017-01-31,2067.298406,,0.976892,,2066.321514,220.2422877
2017-02-28,2026.312313,,0.15578,,2026.156533,272.8406517
2017-03-31,2053.080916,,0.141039,,2052.939877,312.6125551
2017-04-30,1939.587217,,9.726034,,1929.861183,279.3275304
2017-05-31,1982.24125,,7.774723,,1974.466527,314.6774542
2017-06-30,2016.40625,,7.299461,,2009.106789,326.3015426
2017-07-31,2103.318898,,2.122976,,2101.195922,337.573554
2017-08-31,2176.446657,,0.948286,,2175.498371,334.1205783
2017-09-30,2094.29531,,0.944336,,2093.350974,387.1876769
2017-10-31,2118.761583,,0.939329,,2117.822255,409.3291849
2017-11-30,2174.359772,,11.833608,,2162.526164,446.0702937
2017-12-31,2314.128781,,7.227501,,2306.90128,456.7823793
2018-01-31,2286.867441,,1.944771,,2284.92267,328.3254959
2018-02-28,2279.194772,,0.558216,,2278.636556,385.4044829
2018-03-31,2234.147844,,0.559492,,2233.588352,407.0412348
2018-04-30,2039.269565,,9.218542,,2030.051023,374.0959912
2018-05-31,2007.776099,,7.024222,,2000.751876,421.2524241
2018-06-30,1992.114653,,5.501762,,1986.612891,394.7809159
2018-07-31,2054.99673,,4.45877,,2050.53796,414.5048157
2018-08-31,2069.577151,,3.004069,,2066.573082,437.2337049
2018-09-30,2149.421924,,1.633404,,2147.78852,399.5214882
2018-10-31,2082.862004,,1.611579,,2081.250425,461.2299987
2018-11-30,2117.838717,,6.930572,,2110.908145,506.8048575
2018-12-31,2259.333511,,5.980662,,2253.35285,445.0217645
2019-01-31,1994.225189,,4.976493901,,1989.248695,298.5306411
2019-02-28,2074.270932,,3.491790716,,2070.779141,377.446577
2019-03-31,2154.242668,,2.111966952,,2152.130701,411.398104
2019-04-30,2150.745036,,2.105258619,,2148.639778,408.6993781
2019-05-31,2126.448681,,35.63980404,,2090.808877,399.5045448
2019-06-30,2220.41989,,11.56479762,,2208.855092,428.2381337
2019-07-31,2203.358092,,3.386881332,,2199.971211,463.8219071
2019-08-31,2297.899526,,2.02108198,,2295.878444,426.9448266
2019-09-30,2407.395551,,0.678811799,,2406.716739,515.4050543
2019-10-31,2468.4502,,8.257785134,,2460.192415,539.2355887
